grupo,division,nombre
90600000,90000000,Servicios de saneamiento y limpieza en áreas urbanas o rurales y relacionados con ellos
90700000,90000000,Servicios medioambientales
90900000,90000000,Servicios sanitarios y de limpieza
92100000,92000000,Servicios de cine y vídeo
92200000,92000000,Servicios de radio y televisión
92300000,92000000,Servicios de entretenimiento
92400000,92000000,Servicios de agencias de noticias
92500000,92000000,"Servicios de bibliotecas, archivos, museos y otros servicios culturales"
92600000,92000000,Servicios deportivos
92700000,92000000,Servicios de cibercafé
98100000,98000000,Servicios de asociaciones
98200000,98000000,Servicios de asesoramiento sobre igualdad de oportunidades
98300000,98000000,Servicios diversos
98500000,98000000,Casas particulares con personas empleadas
98900000,98000000,Servicios prestados por organizaciones y entidades extraterritoriales
