code|division|grupo|clase|categoria|name|nombre
03221212|03000000|03200000|03220000|03221000|03221212|Judías verdes
03221213|03000000|03200000|03220000|03221000|03221213|Judías pintas
03221220|03000000|03200000|03220000|03221000|03221220|Guisantes
03221221|03000000|03200000|03220000|03221000|03221221|Guisantes de huerta
03221222|03000000|03200000|03220000|03221000|03221222|Guisantes mollares
03221230|03000000|03200000|03220000|03221000|03221230|Pimientos
03221240|03000000|03200000|03220000|03221000|03221240|Tomates
03221250|03000000|03200000|03220000|03221000|03221250|Calabacines
03221260|03000000|03200000|03220000|03221000|03221260|Champiñones
03221270|03000000|03200000|03220000|03221000|03221270|Pepinos
03221300|03000000|03200000|03220000|03221000|03221300|Hortalizas de hoja
03221310|03000000|03200000|03220000|03221000|03221310|Lechuga
03221320|03000000|03200000|03220000|03221000|03221320|Hojas para ensalada
03221330|03000000|03200000|03220000|03221000|03221330|Alcachofas
03221340|03000000|03200000|03220000|03221000|03221340|Espinacas
03221400|03000000|03200000|03220000|03221000|03221400|Coles
03221410|03000000|03200000|03220000|03221000|03221410|Repollos
03221420|03000000|03200000|03220000|03221000|03221420|Coliflores
03221430|03000000|03200000|03220000|03221000|03221430|Brécoles
03221440|03000000|03200000|03220000|03221000|03221440|Coles de Bruselas
03222000|03000000|03200000|03220000|03222000|03222000|Frutas y frutos de cáscara
03222100|03000000|03200000|03220000|03222000|03222100|Frutas y frutos de cáscara tropicales
03222110|03000000|03200000|03220000|03222000|03222110|Frutas tropicales
03222111|03000000|03200000|03220000|03222000|03222111|Plátanos
03222112|03000000|03200000|03220000|03222000|03222112|Piñas
03222113|03000000|03200000|03220000|03222000|03222113|Mangos
03222114|03000000|03200000|03220000|03222000|03222114|Dátiles
03222115|03000000|03200000|03220000|03222000|03222115|Pasas
03222116|03000000|03200000|03220000|03222000|03222116|Higos
03222117|03000000|03200000|03220000|03222000|03222117|Aguacates
03222118|03000000|03200000|03220000|03222000|03222118|Kiwis
03222120|03000000|03200000|03220000|03222000|03222120|Cocos
03222200|03000000|03200000|03220000|03222000|03222200|Cítricos
03222210|03000000|03200000|03220000|03222000|03222210|Limones
03222220|03000000|03200000|03220000|03222000|03222220|Naranjas
03222230|03000000|03200000|03220000|03222000|03222230|Pomelos
03222240|03000000|03200000|03220000|03222000|03222240|Naranjas tangerinas
03222250|03000000|03200000|03220000|03222000|03222250|Limas
03222300|03000000|03200000|03220000|03222000|03222300|Frutas no tropicales
03222310|03000000|03200000|03220000|03222000|03222310|Bayas
03222311|03000000|03200000|03220000|03222000|03222311|Pasas de Corinto
03222312|03000000|03200000|03220000|03222000|03222312|Grosellas silvestres
03222313|03000000|03200000|03220000|03222000|03222313|Fresas
