code,categoria,nombre
9211610,9211000,Líquidos para uso hidráulico
9211620,9211000,Aceites de desmoldado
9211630,9211000,Aceites anticorrosión
9211640,9211000,Aceites para aislamiento eléctrico
9211650,9211000,Líquidos de frenos
9211700,9211000,Aceites blancos y parafinas líquidas
9211710,9211000,Aceites blancos
9211720,9211000,Parafinas líquidas
9211800,9211000,Aceites de petróleo y preparados
9211810,9211000,Aceites ligeros
9211820,9211000,Aceites de petróleo
9211900,9211000,Aceites lubricantes para motores de tracción
9221100,9221000,Vaselina
9221200,9221000,Parafina
9221300,9221000,Cera de petróleo
9221400,9221000,Residuos de petróleo
9222100,9222000,Trementina mineral
9242100,9242000,Aceite de alquitrán
9331100,9331000,Captadores solares para la producción de calor
9331200,9331000,Módulos solares fotovoltaicos
14211100,14211000,Arena natural
14212100,14212000,Guijarros y grava
14212110,14212000,Grava
14212120,14212000,Guijarros
14212200,14212000,Agregados
14212210,14212000,Mezcla arena-grava
14212300,14212000,Piedra partida y machacada
14212310,14212000,Balasto
14212320,14212000,Granito machacado
14212330,14212000,Basalto machacado
14212400,14212000,Suelo
14212410,14212000,Tierra vegetal
14212420,14212000,Subsuelo
14212430,14212000,Gravilla
14213100,14213000,Macadán
14213200,14213000,Macadán bituminoso
14213300,14213000,Arenas bituminosas
14311100,14311000,Calcio natural
14311200,14311000,Fosfatos aluminocálcicos
14311300,14311000,Sales de potasio natural en bruto
14312100,14312000,Piritas de hierro sin tostar
14521100,14521000,Piedras preciosas
14521140,14521000,Polvillo o polvo de piedras preciosas
14521200,14521000,Piedras semipreciosas
14521210,14521000,Polvillo o polvo de piedras semipreciosas
14522100,14522000,Piedra pómez
14522200,14522000,Diamantes industriales
14522300,14522000,Esmeril
14522400,14522000,Abrasivos naturales
14523100,14523000,Minerales
14523200,14523000,Oro
14523300,14523000,Plata
14523400,14523000,Platino
14612100,14612000,Minerales de cobre
14612200,14612000,Minerales de níquel
14612300,14612000,Minerales de aluminio
14612400,14612000,Minerales de metales preciosos
14612500,14612000,Minerales de plomo
14612600,14612000,Minerales de cinc
14612700,14612000,Minerales de estaño
14613100,14613000,Minerales de uranio
14613200,14613000,Minerales de torio
14621100,14621000,Ferroaleaciones distintas de las de la CECA
14621110,14621000,Ferromanganeso
14621120,14621000,Ferrocromo
14621130,14621000,Ferroníquel
14711100,14711000,Fundición en bruto
14721100,14721000,Óxido de aluminio
14811100,14811000,Muelas
14811200,14811000,Piedras de amolar
14811300,14811000,Ruedas de amolar
15111100,15111000,Carne de vaca
15111200,15111000,Carne de ternera
15112100,15112000,Aves de corral frescas
15112110,15112000,Gansos
15112120,15112000,Pavos
15112130,15112000,Pollos
15112140,15112000,Patos
15112300,15112000,Hígados de aves de corral
15112310,15112000,Foie gras
15115100,15115000,Cordero
15115200,15115000,Carnero
15118100,15118000,Carne de caballo
15118900,15118000,"Carne de asno, mulo o burdégano"
15119100,15119000,Carne de conejo
15119200,15119000,Carne de liebre
15119300,15119000,Caza
15119400,15119000,Ancas de rana
15119500,15119000,Palomas
15119600,15119000,Carne de pescado
15131100,15131000,Productos a base de carne para embutidos
15131110,15131000,Carne para embutidos
15131120,15131000,Productos de charcutería
15131130,15131000,Embutidos
15131134,15131000,Morcillas y otros embutidos de sangre
15131135,15131000,Embutidos de carne de ave
15131200,15131000,"Carne seca, salada, ahumada o condimentada"
15131210,15131000,Jamón ahumado
15131220,15131000,Beicon
15131230,15131000,Salami
15131300,15131000,Preparaciones a base de hígado
15131310,15131000,Paté
15131320,15131000,Preparaciones a base de hígado de ganso o de pato
15131400,15131000,Productos a base de carne de cerdo
15131410,15131000,Jamón
15131420,15131000,Albóndigas
15131490,15131000,Platos preparados con carne de cerdo
15131500,15131000,Productos de volatería
15131600,15131000,Productos a base de carne de vaca y de ternera
15131610,15131000,Albóndigas de carne de vaca
15131620,15131000,Carne picada de vaca
15131640,15131000,Hamburguesas de carne de vaca
15131700,15131000,Preparaciones a base de carne
15211100,15211000,Filetes de pescado fresco
15241100,15241000,Salmón en conserva
15241200,15241000,Arenques preparados o en conserva
15241300,15241000,Sardinas
15241400,15241000,Atún en conserva
15241500,15241000,Caballa
15241600,15241000,Anchoas
15241700,15241000,Palitos de pescado
15241800,15241000,Preparaciones a base de pescado empanado
15244100,15244000,Caviar
15244200,15244000,Huevos de peces
15311100,15311000,Patatas fritas
15311200,15311000,"Patatas en dados, en rodajas y otras, congeladas"
15312100,15312000,Puré de patatas instantáneo
15312200,15312000,Patatas prefritas
15312300,15312000,Hojuelas de patatas
15312310,15312000,Hojuelas de patatas condimentadas
15312400,15312000,Aperitivos a base de patatas
15312500,15312000,Croquetas de patatas
15321100,15321000,Zumo de naranja
15321200,15321000,Zumo de pomelo
15321300,15321000,Zumo de limón
15321400,15321000,Zumo de piña
15321500,15321000,Zumo de uva
15321600,15321000,Zumo de manzana
15321700,15321000,Mezclas de zumos no concentrados
15321800,15321000,Zumos concentrados
15322100,15322000,Zumo de tomate
15331100,15331000,Legumbres y hortalizas frescas o congeladas
15331110,15331000,Hortalizas de raíz elaboradas
15331120,15331000,Hortalizas de tubérculo elaboradas
15331130,15331000,"Judías, guisantes, pimientos, tomates y las demás legumbres y hortalizas"
15331131,15331000,Judías elaboradas
15331132,15331000,Guisantes elaborados
15331133,15331000,Guisantes partidos
15331134,15331000,Tomates elaborados
15331135,15331000,Setas elaboradas
15331136,15331000,Pimientos elaborados
15331137,15331000,Brotes de soja
15331138,15331000,Trufas
15331140,15331000,Hortalizas de hoja y coles
15331142,15331000,Repollos elaborados
15331150,15331000,Legumbres elaboradas
15331170,15331000,Legumbres y hortalizas congeladas
15331400,15331000,Legumbres y hortalizas en conserva y/o enlatadas
15331410,15331000,Judías en salsa de tomate
15331411,15331000,"Judías blancas cocidas, en salsa de tomate"
15331420,15331000,Tomates en conserva
15331423,15331000,Tomates enlatados
15331425,15331000,Puré de tomate
15331427,15331000,Puré de tomate concentrado
15331428,15331000,Salsa de tomate
15331430,15331000,Champiñones enlatados
15331450,15331000,Aceitunas elaboradas
15331460,15331000,Legumbres y hortalizas enlatadas
15331461,15331000,Coles fermentadas enlatadas
15331462,15331000,Guisantes enlatados
15331463,15331000,Alubias desvainadas enlatadas
15331464,15331000,Judías verdes enteras enlatadas
15331465,15331000,Espárragos enlatados
15331466,15331000,Aceitunas enlatadas
15331470,15331000,Maíz dulce
15331480,15331000,Legumbres y hortalizas conservadas provisionalmente
15331500,15331000,Hortalizas en vinagre
15332100,15332000,Frutas elaboradas
15332140,15332000,Manzanas elaboradas
15332150,15332000,Peras elaboradas
15332160,15332000,Plátanos elaborados
15332170,15332000,Ruibarbo
15332180,15332000,Melones
15332200,15332000,Compotas y mermeladas; jaleas de fruta; purés y pastas de fruta o de frutos de cáscara
15332230,15332000,Mermeladas
15332231,15332000,Mermelada de naranja
15332232,15332000,Mermelada de limón
15332240,15332000,Jaleas de fruta
15332250,15332000,Pastas de fruta
15332260,15332000,Pasta de frutos de cáscara
15332261,15332000,Mantequilla de cacahuete
15332270,15332000,Purés de fruta
15332290,15332000,Compotas
15332291,15332000,Compota de albaricoque
15332292,15332000,Compota de zarzamora
15332293,15332000,Compota de grosella negra «casis»
15332294,15332000,Compota de cereza
15332295,15332000,Compota de frambuesa
15332296,15332000,Compota de fresa
15332300,15332000,Frutos de cáscara elaborados
15332310,15332000,Frutos de cáscara tostados o salados
15332400,15332000,Conservas de fruta
15332410,15332000,Fruta seca
15332411,15332000,Pasas de Corinto elaboradas
15332412,15332000,Pasas elaboradas
15332419,15332000,Sultaninas
15411100,15411000,Aceites vegetales
15411110,15411000,Aceite de oliva
15411120,15411000,Aceite de sésamo
15411130,15411000,Aceite de cacahuete
15411140,15411000,Aceite de coco
15411200,15411000,Aceite de cocina
15411210,15411000,Aceite para freír
15412100,15412000,Grasas animales
15412200,15412000,Grasas vegetales
15413100,15413000,Torta de oleaginosas
15431100,15431000,Margarina
15431110,15431000,Margarina líquida
15431200,15431000,Productos para untar de contenido graso bajo o reducido
15511100,15511000,Leche pasteurizada
15511200,15511000,Leche esterilizada
15511210,15511000,Leche U.H.T.
15511300,15511000,Leche descremada
15511400,15511000,Leche semidescremada
15511500,15511000,Leche entera
15511600,15511000,Leche condensada
15511700,15511000,Leche en polvo
15512100,15512000,"Crema de leche, con un contenido de materias grasas, en peso, superior al 18 %"
15512200,15512000,"Crema de leche espesa, con un contenido de materias grasas, en peso, del 48 %"
15512300,15512000,"Nata en grumos («clotted cream»), con un contenido de materias grasas, en peso, igual o superior al 48 %"
15512900,15512000,Nata montada
15542100,15542000,Requesón
15542200,15542000,Quesos de pasta blanda
15542300,15542000,Queso feta
15543100,15543000,Queso de pasta azul
15543200,15543000,Queso cheddar
15543300,15543000,Queso rallado
15543400,15543000,Queso parmesano
15551300,15551000,Yogur
15551310,15551000,Yogur natural
15551320,15551000,Yogur aromatizado
15551500,15551000,Suero de mantequilla
15555100,15555000,Helados
15555200,15555000,Sorbetes
15612100,15612000,Harina de trigo
15612110,15612000,Harina integral
15612120,15612000,Harina de panificación
15612130,15612000,Harina corriente
15612150,15612000,Harina para pastelería
15612190,15612000,Harina fermentante
15612200,15612000,Harina de cereales
15612210,15612000,Harina de maíz
15612220,15612000,Harina de arroz
15612300,15612000,Harinas y sémolas vegetales
15612400,15612000,Mezclas para la preparación de productos de panadería
15612410,15612000,Mezclas de pastelería
15612420,15612000,Mezclas para hornear
15612500,15612000,Productos de panadería
15613100,15613000,Avena molida
15613300,15613000,Productos a base de cereales
15613310,15613000,Cereales preparados para desayuno
15613311,15613000,Copos de maíz
15613313,15613000,Muesli o equivalente
15613319,15613000,Trigo hinchado
15613380,15613000,Granos aplastados de avena
15614100,15614000,Arroz de grano largo
15614200,15614000,Arroz molido
15614300,15614000,Arroz partido
15622100,15622000,Glucosa y productos a base de glucosa
15622110,15622000,Glucosa
15622120,15622000,Jarabe de glucosa
15622300,15622000,Fructosa y productos a base de fructosa
15622310,15622000,Fructosa
15622320,15622000,Preparaciones a base de fructosa
15622321,15622000,Soluciones de fructosa
15622322,15622000,Jarabe de fructosa
15811100,15811000,Pan
15811200,15811000,Panecillos
15811300,15811000,Cruasanes
15811400,15811000,Tortitas («crumpets»)
15811500,15811000,Productos de panificación preparados
15811510,15811000,Bocadillos y emparedados
15811511,15811000,Bocadillos y emparedados preparados
15812100,15812000,Productos de pastelería
15812120,15812000,Empanadas
15812121,15812000,Empanadas de verduras
15812122,15812000,Empanadas dulces
15812200,15812000,Pasteles
15821100,15821000,Productos de pan tostado
15821110,15821000,Pan tostado
15821130,15821000,Galletas crocantes
15821150,15821000,Biscotes
15821200,15821000,Galletas dulces
15831200,15831000,Azúcar blanco
15831300,15831000,Azúcar y jarabe de arce
15831400,15831000,Melazas
15831500,15831000,Jarabes de azúcar
15831600,15831000,Miel
15833100,15833000,Postres
15833110,15833000,Fondos de tarta
15841100,15841000,Pasta de cacao
15841200,15841000,"Manteca, grasa o aceite de cacao"
15841300,15841000,Cacao en polvo no azucarado
15841400,15841000,Cacao en polvo azucarado
15842100,15842000,Chocolate
15842200,15842000,Productos a base de chocolate
15842210,15842000,Chocolate para beber
15842220,15842000,Tabletas de chocolate
15842300,15842000,Artículos de confitería
15842310,15842000,Caramelos
15842320,15842000,Turrón
