clase,grupo,nombre
42910000,42900000,"Aparatos de destilación, filtración o rectificación"
42920000,42900000,"Máquinas y aparatos para limpiar botellas, empaquetar y pesar, y máquinas y aparatos para pulverizar"
42930000,42900000,"Centrifugadoras, calandrias o máquinas automáticas distribuidoras"
42940000,42900000,Maquinaria para el tratamiento térmico de materiales
42950000,42900000,Partes de máquinas de uso general
42960000,42900000,"Sistema de mando y control, equipo gráfico, de impresión, ofimático y de procesamiento de la información"
42970000,42900000,"Partes de lavavajillas y máquinas de limpieza, llenado, empaquetado o embalado"
42980000,42900000,Generadores de gas
42990000,42900000,Máquinas diversas para usos especiales
43120000,43100000,Cortadoras y arrancadoras de carbón o roca y maquinaria para hacer túneles o galerías; máquinas de sondeo o de perforación
43130000,43100000,Equipo de perforación
43140000,43100000,Entibados móviles hidráulicos para minas
43210000,43200000,Maquinaria para el movimiento de tierras
43220000,43200000,Niveladoras
43230000,43200000,Máquinas de traillar
43240000,43200000,Bateadoras
43250000,43200000,Palas cargadoras de carga frontal
43260000,43200000,"Palas mecánicas, excavadoras y palas cargadoras, y otras máquinas para la minería"
43310000,43300000,Maquinaria de ingeniería civil
43320000,43300000,Equipo de construcción
43410000,43400000,Maquinas y aparatos para el tratamiento de minerales
43420000,43400000,Maquinaria para fabricar moldes de fundición
43610000,43600000,Partes para máquinas de sondeo
43620000,43600000,Partes de máquinas para tratamiento de minerales
43630000,43600000,Partes de máquinas o aparatos de perforación
43640000,43600000,Partes de maquinaria para excavar
43710000,43700000,Máquinas para laminado de metales
43720000,43700000,Máquinas de colar
43810000,43800000,Equipo para trabajar madera
43820000,43800000,Equipo para la fabricación de calzado
43830000,43800000,Herramientas mecánicas
43840000,43800000,Equipo de herrería
44110000,44100000,Materiales de construcción
44130000,44100000,Colectores
44140000,44100000,Productos relacionados con materiales de construcción
44160000,44100000,"Conducciones, canalizaciones, tuberías de revestimiento, tubos y artículos conexos"
44170000,44100000,"Planchas, hojas, bandas y láminas relacionadas con materiales de construcción"
44190000,44100000,Materiales de construcción diversos
44210000,44200000,Estructuras y partes de estructuras
44220000,44200000,Trabajos de ebanistería para la construcción
44230000,44200000,Trabajos de carpintería para la construcción
44310000,44300000,Productos de alambre
44320000,44300000,Cables y productos conexos
44330000,44300000,"Barras, varillas, alambre y perfiles utilizados en la construcción"
44410000,44400000,Artículos para baño y cocina
44420000,44400000,Artículos utilizados en la construcción
44430000,44400000,Blindaje
44440000,44400000,Cojinetes
44450000,44400000,Acero dulce
44460000,44400000,Estemples y puntales de mina
44470000,44400000,Productos de hierro fundido
44480000,44400000,Equipos diversos contra incendios
44510000,44500000,Herramientas
44520000,44500000,"Cerraduras, llaves y bisagras"
44530000,44500000,Elementos de sujeción
44540000,44500000,Cadenas
44550000,44500000,Muelles (resortes)
44610000,44600000,"Cisternas, depósitos, contenedores y recipientes a presión"
44620000,44600000,"Radiadores y calderas para calefacción central, y sus partes"
44810000,44800000,Pinturas
44820000,44800000,Barnices
44830000,44800000,"Mástiques, plastes de relleno, masillas y disolventes"
44910000,44900000,Piedra para construcción
44920000,44900000,"Piedra caliza, yeso y creta"
44930000,44900000,Pizarra
45110000,45100000,Trabajos de demolición de inmuebles y movimiento de tierras
45120000,45100000,Trabajos de perforación y sondeo
45210000,45200000,Trabajos de construcción de inmuebles
45220000,45200000,Obras de ingeniería y trabajos de construcción
45230000,45200000,"Trabajos de construcción de tuberías, líneas de comunicación y líneas de conducción eléctrica, de autopistas, carreteras, aeródromos y vías férreas; trabajos de explanación"
45240000,45200000,Trabajos de construcción para proyectos hidráulicos
45250000,45200000,"Trabajos de construcción de plantas, de instalaciones para la minería y la industria y de edificios relacionados con la industria del gas y del petróleo"
45260000,45200000,Trabajos de techado y otros trabajos de construcción especializados
45310000,45300000,Trabajos de instalación eléctrica
45320000,45300000,Trabajos de aislamiento
45330000,45300000,Trabajos de fontanería
45340000,45300000,"Trabajos de instalación de barandillas, pasamanos y dispositivos de seguridad"
45350000,45300000,Instalaciones mecánicas
45410000,45400000,Trabajos de enlucido
45420000,45400000,Trabajos de instalación de carpintería de madera
45430000,45400000,Trabajos de revestimiento de suelos y paredes
45440000,45400000,Trabajos de pintura y acristalamiento
45450000,45400000,Otros trabajos de acabado de edificios
45510000,45500000,Alquiler de grúas con maquinista
45520000,45500000,Alquiler de maquinaria para movimiento de tierras con maquinista
48110000,48100000,Paquetes de software de puntos de venta
48120000,48100000,Paquetes de software de control de vuelos
48130000,48100000,Paquetes de software de apoyo en tierra y de ensayos para la aviación
48140000,48100000,Paquetes de software de control del tráfico ferroviario
48150000,48100000,Paquetes de software de control industrial
48160000,48100000,Paquetes de software de bibliotecas
48170000,48100000,Paquetes de software de conformidad
48180000,48100000,Paquetes de software médico
48190000,48100000,Paquetes de software educativo
48210000,48200000,Paquetes de software de conexión en red
48220000,48200000,Paquetes de software de Internet e intranet
48310000,48300000,Paquetes de software de creación de documentos
48320000,48300000,Paquetes de software de dibujo y tratamiento de imágenes
